year,date,open,close,low,high,shares_bought,total_shares,total_invested,portfolio_value
2016,2016-12-19,262.45,262.76,262.02,263.5,38.0575430050236,38.0575430050236,10000,10000.0
2017,2017-01-03,264.04,263.65,258.0,265.2,37.9290726341741,75.9866156391977,20000,20033.87121327447
2018,2018-01-02,274.0,275.3,274.0,275.6,36.32401017072284,112.31062580992054,30000,30919.115285471125
2019,2019-01-02,283.98,285.8,283.98,285.88,34.98950314905528,147.30012895897582,40000,42098.37685647529
2020,2020-01-02,341.95,341.91,340.8,343.0,29.247462782603606,176.54759174157942,50000,60363.387092363424
2021,2021-01-04,397.48,398.09,396.0,399.5,25.11994775050868,201.6675394920881,60000,80281.83079640535
2022,2022-01-04,373.0,371.3,371.0,373.0,26.932399676811205,228.5999391688993,70000,84879.15741341232
2023,2023-01-03,411.0,412.26,409.0,412.5,24.256537136758357,252.85647630565768,80000,104242.61092177044
2024,2024-01-02,480.8,483.66,480.0,483.8,20.675681263697637,273.5321575693553,90000,132296.5633299944
2025,2025-01-02,614.0,621.99,614.0,622.6,16.0774288975707,289.60958646692603,100000,180134.26668656332
