date,close,invest_amount,shares_bought,total_shares,total_invested,portfolio_value,return_pct,sell_money_remaining
1990-12-19,99.98,10000,100.02000400080016,100.02000400080016,10000,10000.0,0.0,0.0
1991-01-02,128.84,10000,77.6156473144986,177.63565131529876,20000,22886.57731546309,0.14432886577315457,0.0
1992-01-02,293.75,20000,68.08510638297872,68.08510638297872,20000,20000.0,0.0,42180.47257386901
1993-01-04,814.04,20000,24.568817257137244,24.568817257137244,20000,20000.0,0.0,87604.47257386902
1994-01-03,833.9,20000,23.98369109005876,48.552508347196,40000,40487.936710726746,0.012198417768168657,77604.47257386902
1995-01-03,639.88,20000,31.255860473838844,79.80836882103485,60000,51067.77904120378,-0.14887034931327034,67604.47257386902
1996-01-02,537.87,20000,37.183706099986985,116.99207492102184,80000,62926.527337770014,-0.2134184082778748,57604.47257386902
1997-01-02,919.435,20000,21.752489300494325,21.752489300494325,20000,20000.0,0.0,155171.08097887872
1998-01-05,1220.473,20000,16.387089267849433,16.387089267849433,20000,20000.0,0.0,171719.40685292092
1999-01-04,1125.819,20000,17.764844970639153,34.151934238488586,40000,38448.89645244098,-0.03877758868897545,161719.40685292092
2000-01-04,1406.371,20000,14.22099858429959,48.37293282278817,60000,68030.28990691743,0.1338381651152905,151719.40685292092
2001-01-02,2103.469,20000,9.50810304311592,9.50810304311592,20000,20000.0,0.0,243470.37148473834
2002-01-04,1611.393,20000,12.411621497673131,21.91972454078905,40000,35321.29068695569,-0.11696773282610774,233470.37148473834
2003-01-02,1320.63,20000,15.144287196262388,37.06401173705144,60000,48947.845820302246,-0.18420256966162923,223470.37148473834
2004-01-02,1517.193,20000,13.182238515469027,50.24625025252047,80000,76233.25915937229,-0.04708426050784637,213470.37148473834
2005-01-04,1242.774,20000,16.093030591241853,66.33928084376232,100000,82444.73341132587,-0.17555266588674132,203470.37148473834
2006-01-04,1180.963,20000,16.93533158955869,83.27461243332101,120000,98344.23612309208,-0.18046469897423267,193470.37148473834
2007-01-04,2715.719,20000,7.364532192027231,7.364532192027231,20000,20000.0,0.0,409620.81868754444
2008-01-02,5272.814,20000,3.7930410592901627,3.7930410592901627,20000,20000.0,0.0,438452.6271331163
2009-01-05,1880.716,20000,10.634247807749816,14.427288867039978,40000,27133.63300886396,-0.321659174778401,428452.6271331163
2010-01-04,3243.76,20000,6.165684267640022,20.59297313468,60000,66798.6625353496,0.11331104225582676,418452.6271331163
2011-01-04,2852.648,20000,7.0110297520058555,27.604002886685855,80000,78744.50362669863,-0.01569370466626715,408452.6271331163
2012-01-04,2169.39,20000,9.21918142888093,36.823184315566785,100000,79883.84782234742,-0.20116152177652577,398452.6271331163
2013-01-04,2276.992,20000,8.783517904322895,45.606702219889684,120000,103846.09610107106,-0.13461586582440782,388452.6271331163
2014-01-02,2109.387,20000,9.481427542693682,55.088129762583364,140000,116202.18477550644,-0.1699843944606683,378452.6271331163
2015-01-05,3350.519,20000,5.969224469403099,5.969224469403099,20000,20000.0,0.0,553026.4525771174
2016-01-04,3296.258,20000,6.067486222255662,12.036710691658762,40000,39676.10391106572,-0.00809740222335695,543026.4525771174
2017-01-03,3135.921,20000,6.377711683425699,18.41442237508446,60000,57746.173828897234,-0.03756376951837944,533026.4525771174
2018-01-02,3348.326,20000,5.97313403772512,24.38755641280958,80000,81657.48921347705,0.02071861516846311,523026.45257711736
2019-01-02,2465.291,20000,8.112632545204603,32.500188958014185,100000,80122.42333649176,-0.1987757666350824,513026.45257711736
2020-01-02,3085.198,20000,6.48256611082984,38.98275506884403,120000,120269.51797288745,0.002245983107395417,503026.45257711736
2021-01-04,3502.958,20000,5.709460404606621,44.69221547345065,140000,156554.95373044774,0.11824966950319815,493026.45257711736
2022-01-04,3632.329,20000,5.506109165772153,50.198324639222804,160000,182336.83033846354,0.1396051896153971,483026.45257711736
2023-01-03,3116.512,20000,6.417430768756867,56.61575540797967,180000,176443.68111803354,-0.019757327122035914,473026.45257711736
2024-01-02,2962.276,20000,6.751565350426497,63.367320758406166,200000,187711.49346692837,-0.06144253266535816,463026.45257711736
2025-01-02,3262.561,20000,6.1301535818027615,69.49747434020892,220000,226739.7493808664,0.030635224458483573,453026.45257711736
